timestamp,scenario_id,repeat_id,algorithm,n_nodes,n_edges,source,target,w_delay,w_rel,w_res,path_length,total_delay,rel_cost,res_cost,total_cost
2025-12-03T18:04:10,9,2,Q-Learning,250,12386,131,41,0.5,0.3,0.2,5,30.42482003799044,0.16191222964793298,13.20032212428837,17.901048112747272
2025-12-03T18:04:10,9,2,SARSA,250,12386,131,41,0.5,0.3,0.2,3,29.653493974262513,0.1257598877735396,8.291369057987174,16.522748765060754
2025-12-03T18:04:11,9,3,Basit,250,12386,27,66,0.5,0.3,0.2,3,8.725227984109539,0.1534566519125386,4.728512474370488,5.354353482502629
2025-12-03T18:04:11,9,3,Q-Learning,250,12386,27,66,0.5,0.3,0.2,4,16.794603973861808,0.21201128097914987,4.3050460531992085,9.32191458186449
2025-12-03T18:04:12,9,3,SARSA,250,12386,27,66,0.5,0.3,0.2,3,11.073454249820466,0.10633522920174587,3.4474077116450674,6.25810923599977
2025-12-03T18:04:12,9,4,Basit,250,12386,220,89,0.5,0.3,0.2,3,8.089250550372913,0.09600542301142313,3.5575164153670635,4.7849301851632955
2025-12-03T18:04:12,9,4,Q-Learning,250,12386,220,89,0.5,0.3,0.2,3,8.089250550372913,0.09600542301142313,3.5575164153670635,4.7849301851632955
2025-12-03T18:04:13,9,4,SARSA,250,12386,220,89,0.5,0.3,0.2,2,14.384043501332894,0.05354361424945078,5.1958189160736445,8.24724861815601
2025-12-03T18:04:13,9,5,Basit,250,12386,232,247,0.5,0.3,0.2,3,10.767066121494263,0.13170754612583316,2.11057637106797,5.845160598798476
2025-12-03T18:04:14,9,5,Q-Learning,250,12386,232,247,0.5,0.3,0.2,3,14.17731653156172,0.1571805420380466,3.011160400519611,7.738044508496197
2025-12-03T18:04:14,9,5,SARSA,250,12386,232,247,0.5,0.3,0.2,3,14.17731653156172,0.1571805420380466,3.011160400519611,7.738044508496197
2025-12-03T18:04:14,10,1,Basit,250,12327,111,80,0.5,0.3,0.2,3,10.261977924137337,0.06572857540511541,3.1446060808762315,5.77962875086545
2025-12-03T20:28:20,10,1,Q-Learning,250,12327,111,80,0.5,0.3,0.2,4,27.75478603205664,0.19297812832783498,5.352628831008673,15.005812220728405
2025-12-03T20:28:21,10,1,SARSA,250,12327,111,80,0.5,0.3,0.2,3,14.861930761942162,0.06811673816211687,7.058416831260097,8.863083768671736
2025-12-03T20:28:21,10,2,Basit,250,12327,19,72,0.5,0.3,0.2,3,9.19419680976642,0.1280115527951091,3.684182168504319,5.372338304422607
2025-12-03T20:28:22,10,2,Q-Learning,250,12327,19,72,0.5,0.3,0.2,2,11.915227369182196,0.07640059019994311,1.5527499354884609,6.291083848748773
2025-12-03T20:28:22,10,2,SARSA,250,12327,19,72,0.5,0.3,0.2,2,11.915227369182196,0.07640059019994311,1.5527499354884609,6.291083848748773
2025-12-03T20:28:22,10,3,Basit,250,12327,248,128,0.5,0.3,0.2,3,12.780986666109532,0.11322046406631305,3.9390799758690953,7.212275467448479
